Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5
44,450	-0,023	-2,712
44,500	-0,022	-2,667
44,550	-0,023	-2,630
44,600	-0,022	-2,614
44,650	-0,023	-2,574
44,700	-0,022	-2,528
44,750	-0,023	-2,454
44,800	-0,022	-2,420
44,850	-0,023	-2,356
44,900	-0,022	-2,327
44,950	-0,023	-2,273
45,000	-0,022	-2,227
45,050	-0,023	-2,183
45,100	-0,021	-2,124
45,150	-0,023	-2,073
45,200	-0,021	-2,035
45,250	-0,023	-2,006
45,300	-0,021	-1,995
45,350	-0,023	-1,973
45,400	-0,021	-1,952
45,450	-0,023	-1,923
45,500	-0,021	-1,896
45,550	-0,022	-1,869
45,600	-0,021	-1,843
45,650	-0,023	-1,820
45,700	-0,021	-1,793
45,750	-0,022	-1,763
45,800	-0,021	-1,760
45,850	-0,023	-1,761
45,900	-0,021	-1,760
45,950	-0,022	-1,760
46,000	-0,021	-1,760
46,050	-0,023	-1,761
46,100	-0,022	-1,761
46,150	-0,022	-1,760
46,200	-0,021	-1,710
46,250	-0,022	-1,671
46,300	-0,022	-1,625
46,350	-0,022	-1,615
46,400	-0,021	-1,611
46,450	-0,023	-1,586
46,500	-0,021	-1,547
46,550	-0,022	-1,491
46,600	-0,021	-1,446
46,650	-0,022	-1,402
46,700	-0,021	-1,364
46,750	-0,022	-1,340
46,800	-0,021	-1,313
46,850	-0,022	-1,287
46,900	-0,021	-1,240
46,950	-0,021	-1,197
47,000	-0,021	-1,162
47,050	-0,021	-1,105
47,100	-0,020	-1,037
47,150	-0,021	-0,980
47,200	-0,020	-0,906
47,250	-0,021	-0,866
47,300	-0,020	-0,818
47,350	-0,021	-0,780
47,400	-0,020	-0,777
47,450	-0,021	-0,776
47,500	-0,020	-0,765
47,550	-0,021	-0,745
47,600	-0,020	-0,698
47,650	-0,021	-0,631
47,700	-0,020	-0,583
47,750	-0,021	-0,539
47,800	-0,020	-0,503
47,850	-0,021	-0,479
47,900	-0,020	-0,464
47,950	-0,021	-0,457
48,000	-0,020	-0,457
48,050	-0,021	-0,457
48,100	-0,020	-0,457
48,150	-0,021	-0,457
48,200	-0,020	-0,462
48,250	-0,021	-0,463
48,300	-0,020	-0,443
48,350	-0,021	-0,365
48,400	-0,020	-0,311
48,450	-0,021	-0,254
48,500	-0,020	-0,217
48,550	-0,020	-0,197
48,600	-0,019	-0,162
48,650	-0,021	-0,128
48,700	-0,020	-0,097
48,750	-0,021	-0,069
48,800	-0,019	-0,030
48,850	-0,020	-0,007
48,900	-0,020	-0,005
48,950	-0,021	-9,048E-4
49,000	-0,019	4,722E-4
49,050	-0,020	2,000E-4
49,100	-0,020	-3,042E-4
49,150	-0,021	0,001
49,200	-0,020	0,002
49,250	-0,021	0,002
49,300	-0,020	0,002
49,350	-0,020	0,003
49,400	-0,019	6,431E-4
49,450	-0,021	-0,003
49,500	-0,020	-0,003
49,550	-0,021	-0,003
49,600	-0,020	-0,003
49,650	-0,021	-0,003
49,700	-0,020	-0,003
49,750	-0,020	-0,003
49,800	-0,020	-0,003
49,850	-0,020	-0,003
49,900	-0,020	-0,003
49,950	-0,021	-0,003
50,000	-0,020	-0,003
50,050	-0,021	-0,003
50,100	-0,020	-0,003
50,150	-0,021	-0,003
50,200	-0,020	-0,003
